Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,23,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,24,total execution time,1280.99,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,24,garbage collection time,80.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,24,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,25,total execution time,1263.75,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,25,garbage collection time,76.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,25,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,26,total execution time,1281.25,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,26,garbage collection time,69.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,26,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,27,total execution time,1257.91,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,27,garbage collection time,90.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,27,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,28,total execution time,1271.73,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,28,garbage collection time,71.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,28,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,29,total execution time,1155.85,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,29,garbage collection time,41.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,29,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,30,total execution time,1222.24,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,30,garbage collection time,80.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,30,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,31,total execution time,1217.73,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,31,garbage collection time,64.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,31,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,32,total execution time,1257.57,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,32,garbage collection time,92.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,32,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,33,total execution time,1117.41,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,33,garbage collection time,26.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,33,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,34,total execution time,1206.75,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,34,garbage collection time,85.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,34,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,35,total execution time,1190.83,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,35,garbage collection time,64.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,35,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,36,total execution time,1181.68,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,36,garbage collection time,57.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,36,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,37,total execution time,1164.84,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,37,garbage collection time,68.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,37,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,38,total execution time,1294.41,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,38,garbage collection time,83.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,38,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,39,total execution time,1175.36,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,39,garbage collection time,60.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,39,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,40,total execution time,1189.47,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,40,garbage collection time,59.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,40,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,41,total execution time,1229.45,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,41,garbage collection time,80.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,41,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,42,total execution time,1249.19,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,42,garbage collection time,70.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,42,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,43,total execution time,1225.05,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,43,garbage collection time,81.00,1
