Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,14,total execution time,993.59,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,14,garbage collection time,41.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,14,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,15,total execution time,937.32,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,15,garbage collection time,54.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,15,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,16,total execution time,882.95,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,16,garbage collection time,44.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,16,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,17,total execution time,831.23,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,17,garbage collection time,39.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,17,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,18,total execution time,829.91,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,18,garbage collection time,37.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,18,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,19,total execution time,859.61,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,19,garbage collection time,43.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,19,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,20,total execution time,816.13,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,20,garbage collection time,16.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,20,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,21,total execution time,814.82,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,21,garbage collection time,40.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,21,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,22,total execution time,954.57,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,22,garbage collection time,56.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,22,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,23,total execution time,782.14,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,23,garbage collection time,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,23,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,24,total execution time,868.43,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,24,garbage collection time,61.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,24,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,25,total execution time,792.07,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,25,garbage collection time,27.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,25,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,26,total execution time,797.61,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,26,garbage collection time,46.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,26,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,27,total execution time,798.12,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,27,garbage collection time,29.00,1
Local change - no cache,Gradle 8.1-20230209163350+0000,:santa-tracker:assembleDebug,MEASURE,27,local build cache size,0.00,1
