Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,13,local build cache size,0.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,total execution time,15871.53,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,garbage collection time,521.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,local build cache size,0.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,total execution time,16024.39,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,garbage collection time,464.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,local build cache size,0.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,total execution time,15513.48,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,garbage collection time,421.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,local build cache size,0.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,total execution time,15399.97,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,garbage collection time,445.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,local build cache size,0.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,total execution time,15235.83,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,garbage collection time,455.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,local build cache size,0.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,total execution time,37817.59,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,garbage collection time,383.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,local build cache size,0.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,20,total execution time,21232.37,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,20,garbage collection time,420.00,1
Clean build - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,20,local build cache size,0.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,total execution time,43481.71,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,garbage collection time,685.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,total execution time,1800.67,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,garbage collection time,42.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,total execution time,1561.50,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,garbage collection time,24.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,total execution time,1546.59,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,garbage collection time,50.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,total execution time,1415.17,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,garbage collection time,15.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,total execution time,1521.48,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,garbage collection time,55.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,5,total execution time,1353.31,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,5,garbage collection time,20.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,5,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,6,total execution time,1474.32,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,6,garbage collection time,54.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,6,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,7,total execution time,1337.04,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,7,garbage collection time,21.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,7,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,8,total execution time,1367.22,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,8,garbage collection time,58.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,8,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,9,total execution time,1313.05,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,9,garbage collection time,50.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,9,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,10,total execution time,1387.04,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,10,garbage collection time,53.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,10,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,11,total execution time,1376.59,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,11,garbage collection time,50.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,11,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,12,total execution time,1297.22,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,12,garbage collection time,0.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,12,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,13,total execution time,1343.25,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,13,garbage collection time,10.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,13,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,total execution time,1315.27,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,garbage collection time,25.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,total execution time,1404.61,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,garbage collection time,71.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,total execution time,1366.99,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,garbage collection time,54.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,total execution time,1321.37,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,garbage collection time,54.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,total execution time,1349.42,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,garbage collection time,58.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,total execution time,1328.40,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,garbage collection time,55.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,local build cache size,25.26,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,20,total execution time,1305.33,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,20,garbage collection time,0.00,1
Clean build - baseline cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,20,local build cache size,25.26,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,total execution time,42761.77,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,garbage collection time,514.00,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,local build cache size,32.45,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,total execution time,2019.80,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,garbage collection time,86.00,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,local build cache size,44.38,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,total execution time,1823.26,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,garbage collection time,51.00,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,local build cache size,44.38,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,total execution time,1730.72,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,garbage collection time,67.00,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,local build cache size,44.38,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,total execution time,1561.78,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,garbage collection time,26.00,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,local build cache size,44.38,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,total execution time,1551.86,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,garbage collection time,44.00,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,local build cache size,44.38,1
Clean build - cache NG,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,5,total execution time,1596.31,1
