Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,14,total execution time,917.66,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,14,garbage collection time,11.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,14,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,15,total execution time,859.17,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,15,garbage collection time,8.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,15,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,16,total execution time,862.06,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,16,garbage collection time,4.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,16,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,17,total execution time,968.75,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,17,garbage collection time,25.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,17,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,18,total execution time,938.07,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,18,garbage collection time,22.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,18,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,19,total execution time,862.79,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,19,garbage collection time,16.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,19,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,20,total execution time,841.63,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,20,garbage collection time,9.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,20,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,21,total execution time,848.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,21,garbage collection time,8.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,21,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,22,total execution time,848.89,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,22,garbage collection time,5.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,22,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,23,total execution time,872.94,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,23,garbage collection time,26.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,23,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,24,total execution time,854.87,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,24,garbage collection time,21.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,24,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,25,total execution time,852.46,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,25,garbage collection time,15.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,25,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,26,total execution time,875.23,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,26,garbage collection time,8.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,26,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,27,total execution time,831.08,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,27,garbage collection time,9.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,27,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,28,total execution time,829.36,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,28,garbage collection time,6.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,28,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,29,total execution time,866.40,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,29,garbage collection time,26.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,29,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,30,total execution time,839.44,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,30,garbage collection time,22.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,30,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,31,total execution time,830.08,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,31,garbage collection time,15.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,31,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,32,total execution time,840.24,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,32,garbage collection time,7.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,32,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,33,total execution time,817.34,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,33,garbage collection time,9.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,33,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,34,total execution time,847.92,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,34,garbage collection time,5.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,34,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,35,total execution time,835.42,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,35,garbage collection time,25.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,35,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,36,total execution time,835.71,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,36,garbage collection time,21.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,36,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,37,total execution time,878.43,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,37,garbage collection time,56.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,37,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,38,total execution time,917.05,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,38,garbage collection time,49.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,38,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,39,total execution time,912.99,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,39,garbage collection time,50.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,39,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,40,total execution time,828.39,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,40,garbage collection time,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,40,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,41,total execution time,807.86,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,41,garbage collection time,11.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,41,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,42,total execution time,871.72,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,42,garbage collection time,58.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,42,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,43,total execution time,873.52,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,43,garbage collection time,26.00,1
